ip,country_code,region_code,location
3.0.0.0/15,SG,SG-01,Singapore
3.2.0.0/24,US,US-TX,Houston
3.2.2.0/24,US,US-FL,Miami
3.2.3.0/24,US,US-MA,Boston
3.2.32.0/26,NZ,NZ-AUK,Auckland
3.2.32.64/26,SE,SE-AB,Stockholm
3.2.32.128/26,BH,BH-14,Bahrain
3.2.32.192/26,IN,IN-MH,Mumbai
3.2.33.64/26,FR,FR-75C,Paris
3.2.33.128/26,ID,ID-JK,Jakarta
3.2.33.192/26,US,US-OH,Columbus
3.2.34.0/26,ZA,ZA-WC,Cape Town
3.2.34.128/26,IE,IE-D,Dublin
3.2.34.192/26,AE,AE-DU,Dubai
3.2.35.0/26,DE,DE-HE,Frankfurt
3.2.35.64/26,BR,BR-SP,Sao Paulo
3.2.35.128/26,CN,CN-HK,Hong Kong
3.2.35.192/26,IN,IN-TG,Hyderabad
3.2.36.0/24,US,US-VA,Ashburn
3.2.36.56/29,US,US-TX,Dallas
3.2.36.64/29,US,US-IL,Chicago
3.2.36.72/29,US,US-TX,Houston
3.2.36.80/29,US,US-FL,Miami
3.2.36.88/29,US,US-GA,Atlanta
3.2.36.96/29,US,US-IL,Chicago
3.2.36.104/29,US,US-NJ,Piscataway
3.2.37.0/26,KR,KR-28,Incheon
3.2.37.128/26,JP,JP-27,Osaka
3.2.37.192/26,MY,MY-14,Kuala Lumpur
3.2.38.0/26,GB,GB-LND,London
3.2.38.128/26,AU,AU-VIC,Melbourne
3.2.38.192/26,IT,IT-MI,Milan
3.2.39.0/26,JP,JP-13,Tokyo
3.2.39.64/26,US,US-OH,Columbus
3.2.39.128/26,US,US-OR,Boardman
3.2.40.0/25,US,US-OR,Boardman
3.2.40.32/29,US,US-AZ,Phoenix
3.2.40.48/28,US,US-CA,Los Angeles
3.2.41.0/26,US,US-WA,Seattle
3.2.41.64/26,US,US-CA,San Jose
3.2.41.128/26,SG,SG-01,Singapore
3.2.41.192/26,AU,AU-NSW,Sydney
3.2.42.0/26,IL,IL-TA,Tel Aviv
3.2.42.64/26,CA,CA-QC,Montreal
3.2.42.192/26,CA,CA-AB,Calgary
3.2.43.0/26,ES,ES-AR,Zaragoza
3.2.43.64/26,CH,CH-ZH,Zurich
3.2.43.192/26,TH,TH-10,Bangkok
3.2.44.0/26,MX,MX-QUE,Querétaro
3.2.44.64/26,TW,TW-TPE,Taipei
3.2.47.0/25,US,US-VA,Ashburn
3.2.47.56/29,US,US-IL,Chicago
3.2.47.192/26,US,US-OH,Columbus
3.2.48.0/24,GB,GB-LND,London
3.2.49.0/24,BR,BR-SP,Sao Paulo
3.2.50.0/23,US,US-VA,Ashburn
3.2.52.0/24,US,US-VA,Ashburn
3.2.53.0/24,DE,DE-HE,Frankfurt
3.2.54.0/24,US,US-CA,San Jose
3.2.55.0/24,US,US-OR,Boardman
3.2.56.0/24,BH,BH-14,Bahrain
3.2.57.0/24,IE,IE-D,Dublin
3.2.58.0/24,US,US-VA,Ashburn
3.3.2.0/23,US,US-VA,Ashburn
